t_s,delivered_images,utility,backlog_bits,n_active,n_dropped
0,17482.3,0.1286,13634962989,8,0
30,34964.6,0.2572,13465426522,8,0
60,52446.9,0.3857,13295890056,8,0
90,69929.2,0.5143,13126353589,8,0
120,87411.5,0.6429,12956817122,8,0
150,104893.8,0.7715,12787280655,8,0
180,122376.1,0.9,12617744189,8,0
210,139858.4,1.0286,12448207722,8,0
240,157340.7,1.1572,12278671255,8,0
270,174823.0,1.2858,12109134788,8,0
300,192305.3,1.4143,11939598321,8,0
330,209787.6,1.5429,11770061855,8,0
360,227269.8,1.6715,11600525388,8,0
390,244752.1,1.8001,11430988921,8,0
420,262234.4,1.9286,11261452454,8,0
450,279716.7,2.0572,11091915988,8,0
480,297199.0,2.1858,10922379521,8,0
510,314681.3,2.3144,10752843054,8,0
540,332163.6,2.4429,10583306587,8,0
570,349645.9,2.5715,10413770121,8,0
600,367128.2,2.7001,10244233654,8,0
630,384610.5,2.8287,10074697187,8,0
660,402092.8,2.9572,9905160720,8,0
690,419575.1,3.0858,9735624253,8,0
720,437057.4,3.2144,9566087787,8,0
750,454539.7,3.343,9396551320,8,0
780,472022.0,3.4715,9227014853,8,0
810,489504.3,3.6001,9057478386,8,0
840,506986.6,3.7287,8887941920,8,0
870,524468.9,3.8573,8718405453,8,0
900,541951.2,3.9858,8548868986,8,0
930,559433.5,4.1144,8379332519,8,0
960,576915.8,4.243,8209796052,8,0
990,594398.1,4.3716,8040259586,8,0
1020,611880.4,4.5001,7870723119,8,0
1050,629362.7,4.6287,7701186652,8,0
1080,646845.0,4.7573,7531650185,8,0
1110,664327.3,4.8859,7362113719,8,0
1140,681809.5,5.0144,7192577252,8,0
1170,699291.8,5.143,7023040785,8,0
1200,716774.1,5.2716,6853504318,8,0
1230,734256.4,5.4002,6683967851,8,0
1260,751738.7,5.5287,6514431385,8,0
1290,769221.0,5.6573,6344894918,8,0
1320,786703.3,5.7859,6175358451,8,0
1350,804185.6,5.9145,6005821984,8,0
1380,821667.9,6.0431,5836285518,8,0
1410,839150.2,6.1716,5666749051,8,0
1440,855067.9,6.2626,5514836180,8,0
1470,867688.0,6.3162,5400067947,5,0
1500,880308.0,6.3699,5285299713,5,0
1530,892928.1,6.4235,5170531480,5,0
1560,905548.2,6.4771,5055763246,5,0
1590,918168.2,6.5307,4940995013,5,0
1620,930788.3,6.5844,4826226780,5,0
1650,943408.3,6.638,4711458546,5,0
1680,956028.4,6.6916,4596690313,5,0
1710,968648.5,6.7452,4481922080,5,0
1740,981268.5,6.7989,4367153846,5,0
1770,993888.6,6.8525,4252385613,5,0
1800,1018664.2,6.9596,12296853293,13,0
1830,1043439.9,7.0667,12120470797,13,0
1860,1068215.5,7.1739,11944088301,13,0
1890,1092991.2,7.281,11767705805,13,0
1920,1117766.8,7.3881,11591323309,13,0
1950,1142542.5,7.4952,11414940813,13,0
1980,1167318.1,7.6024,11238558317,13,0
2010,1192093.8,7.7092,11062175821,13,0
2040,1216869.4,7.8152,10885793325,13,0
2070,1241645.1,7.9204,10709410829,13,0
2100,1266420.7,8.0249,10533028333,13,0
2130,1291196.4,8.1288,10356645837,13,0
2160,1315972.0,8.2322,10180263341,13,0
2190,1340747.7,8.335,10003880845,13,0
2220,1365523.3,8.4374,9827498350,13,0
2250,1390299.0,8.5394,9651115854,13,0
2280,1415074.6,8.641,9474733358,13,0
2310,1439850.3,8.7377,9298350862,13,0
2340,1464625.9,8.8327,9121968366,12,0
2370,1489401.6,8.9274,8945585870,12,0
2400,1514177.2,9.0219,8769203374,12,0
2430,1538952.9,9.1162,8592820878,12,0
2460,1563728.5,9.2102,8416438382,12,0
2490,1588504.2,9.3041,8240055886,12,0
2520,1613279.8,9.3978,8063673390,12,0
2550,1638055.5,9.4913,7887290894,12,0
2580,1662831.1,9.5847,7710908398,12,0
2610,1687606.8,9.678,7534525902,12,0
2640,1712382.5,9.7711,7358143406,12,0
2670,1737996.3,9.8661,7181760910,12,0
2700,1778752.1,9.9956,7005378414,11,0
2730,1819507.9,10.1243,6828995918,11,0
2760,1860263.6,10.2522,6652613422,11,0
2790,1901019.4,10.3834,6476230927,11,0
2820,1941775.2,10.5303,6299848431,11,0
2850,1982530.9,10.6767,6123465935,11,0
2880,2023286.7,10.8225,5947083439,11,0
2910,2064042.4,10.9679,5770700943,11,0
2940,2104798.2,11.1117,5594318447,11,0
2970,2145554.0,11.2505,5417935951,11,0
3000,2186309.7,11.3889,5241553455,11,0
3030,2226242.4,11.522,5074441998,11,0
3060,2264567.1,11.6452,4925443618,10,0
3090,2302891.7,11.7681,4776445239,10,0
3120,2341216.4,11.8907,4627446860,10,0
3150,2372523.1,11.9924,4499578288,10,0
3180,2394403.1,12.0698,4403733879,9,0
3210,2416283.2,12.1471,4307889471,9,0
3240,2438163.3,12.2243,4212045062,9,0
3270,2460043.3,12.3013,4116200654,9,0
3300,2480019.3,12.3774,4031080322,9,0
3330,2499468.2,12.4533,3948927972,8,0
3360,2518917.2,12.5291,3866775622,8,0
3390,2538366.1,12.605,3784623272,8,0
3420,2557815.1,12.6808,3702470922,8,0
3450,2577264.0,12.7567,3620318571,8,0
3480,2596713.0,12.8325,3538166221,8,0
3510,2616161.9,12.9084,3456013871,8,0
3540,2635610.8,12.9842,3373861521,8,0
3570,2655059.8,13.0601,3291709171,8,0
3600,2693957.7,13.247,11025391133,16,0
3630,2732855.6,13.4339,10847394374,16,0
3660,2771753.5,13.6209,10669397616,16,0
3690,2810651.4,13.8075,10491400857,16,0
3720,2849549.3,13.9917,10313404099,16,0
3750,2888447.1,14.1733,10135407340,16,0
3780,2927345.0,14.3525,9957410582,16,0
3810,2966242.9,14.5292,9779413823,16,0
3840,3005140.8,14.7039,9601417065,16,0
3870,3044038.7,14.8767,9423420306,16,0
3900,3082936.6,15.0478,9245423548,16,0
3930,3121834.5,15.2173,9067426789,16,0
3960,3160732.4,15.3855,8889430031,16,0
3990,3199630.3,15.5523,8711433272,16,0
4020,3238528.2,15.718,8533436514,16,0
4050,3277426.1,15.8827,8355439755,16,0
4080,3316324.0,16.0459,8177442996,16,0
4110,3355221.9,16.207,7999446238,16,0
4140,3392153.4,16.3651,7826986712,16,0
4170,3428620.2,16.5213,7655835983,15,0
4200,3465087.0,16.6762,7484685253,15,0
4230,3501553.7,16.8298,7313534524,15,0
4260,3538020.5,16.9823,7142383795,15,0
4290,3574487.3,17.1338,6971233065,15,0
4320,3610954.1,17.2836,6800082336,15,0
4350,3647420.8,17.4318,6628931607,15,0
4380,3683297.3,17.5777,6461105410,15,0
4410,3717333.0,17.7204,6303646739,14,0
4440,3751368.6,17.8614,6146188068,14,0
4470,3785404.3,18.0007,5988729397,14,0
4500,3819439.9,18.1386,5831270726,14,0
4530,3853475.6,18.2752,5673812055,14,0
4560,3887511.3,18.4105,5516353384,14,0
4590,3919354.8,18.5401,5371240741,14,0
4620,3950959.3,18.6683,5227474129,13,0
4650,3982563.9,18.7955,5083707516,13,0
4680,4014168.4,18.9219,4939940903,13,0
4710,4045772.9,19.0477,4796174291,13,0
4740,4076801.8,19.1727,4654028886,13,0
4770,4105975.2,19.2969,4517108303,12,0
4800,4135148.6,19.4205,4380187719,12,0
4830,4164322.0,19.5438,4243267136,12,0
4860,4193495.4,19.6666,4106346552,12,0
4890,4222668.9,19.789,3969425969,12,0
4920,4251842.3,19.9111,3832505385,12,0
4950,4279631.2,20.0323,3703382539,12,0
4980,4306373.5,20.1529,3580154014,11,0
5010,4333115.8,20.2733,3456925489,11,0
5040,4359419.2,20.3934,3334932895,11,0
5070,4383730.4,20.5126,3218550399,10,0
5100,4408041.5,20.6319,3102167903,10,0
5130,4431726.5,20.751,2989312454,10,0
5160,4453606.5,20.8698,2886622017,9,0
5190,4475064.2,20.9835,2788689369,9,0
5220,4494513.2,21.0737,2713383048,8,0
5250,4513962.1,21.1632,2638076727,8,0
5280,4533411.1,21.2522,2562770406,8,0
5310,4550782.1,21.3262,2499166605,8,0
5340,4567800.0,21.3972,2437552343,7,0
5370,4584817.8,21.4678,2375938080,7,0
5400,4621115.9,21.6476,11931514157,15,0
5430,4655008.3,21.8238,11755131661,14,0
5460,4688900.6,22.0,11578749165,14,0
5490,4722793.0,22.1761,11402366669,14,0
5520,4756685.3,22.352,11225984173,14,0
5550,4790577.7,22.527,11049601677,14,0
5580,4824470.0,22.7014,10873219181,14,0
5610,4858362.4,22.8753,10696836685,14,0
5640,4892254.7,23.0485,10520454189,14,0
5670,4926147.0,23.2213,10344071693,14,0
5700,4960039.4,23.3936,10167689197,14,0
5730,4993931.7,23.5644,9991306701,14,0
5760,5027824.1,23.7333,9814924205,14,0
5790,5061716.4,23.9005,9638541709,14,0
5820,5095608.8,24.066,9462159214,14,0
5850,5129501.1,24.2301,9285776718,14,0
5880,5163393.5,24.3929,9109394222,14,0
5910,5197285.8,24.5545,8933011726,14,0
5940,5231178.1,24.7151,8756629230,14,0
5970,5264492.0,24.8726,8581875692,14,0
6000,5295953.2,25.0235,8412339225,13,0
6030,5327414.5,25.1737,8242802758,13,0
6060,5356650.9,25.3167,8079531385,13,0
6090,5385681.0,25.4576,7916840947,12,0
6120,5414711.1,25.5969,7754150510,12,0
6150,5443741.2,25.7347,7591460072,12,0
6180,5472771.3,25.8714,7428769634,12,0
6210,5501801.4,26.0069,7266079197,12,0
6240,5530831.5,26.1413,7103388759,12,0
6270,5559861.6,26.2748,6940698322,12,0
6300,5588891.7,26.4075,6778007884,12,0
6330,5617921.9,26.5394,6615317446,12,0
6360,5646952.0,26.6706,6452627009,12,0
6390,5675982.1,26.8011,6289936571,12,0
6420,5705012.2,26.9311,6127246134,12,0
6450,5734042.3,27.0606,5964555696,12,0
6480,5762837.9,27.1882,5803185830,12,0
6510,5789436.9,27.3018,5654187451,11,0
6540,5816035.9,27.4151,5505189071,11,0
6570,5842634.9,27.528,5356190692,11,0
6600,5869233.9,27.6406,5207192313,11,0
6630,5895832.9,27.7529,5058193934,11,0
6660,5922431.9,27.865,4909195554,11,0
6690,5949030.8,27.9768,4760197175,11,0
6720,5975629.8,28.0885,4611198796,11,0
6750,6002228.8,28.1999,4462200417,11,0
6780,6028827.8,28.3112,4313202037,11,0
6810,6055426.8,28.4223,4164203658,11,0
6840,6082025.8,28.5332,4015205279,11,0
6870,6108624.8,28.6441,3866206900,11,0
6900,6135223.8,28.7548,3717208520,11,0
6930,6161822.8,28.8654,3568210141,11,0
6960,6188421.8,28.976,3419211762,11,0
6990,6215020.7,29.0864,3270213383,11,0
7020,6241619.7,29.1968,3121215003,11,0
7050,6267542.4,29.3088,2972216624,11,0
7080,6292318.1,29.4239,2823218245,10,0
7110,6314727.8,29.5385,2687544959,10,0
7140,6337072.3,29.6531,2552238638,9,0
7170,6359416.8,29.7677,2416932317,9,0
7200,6395684.8,29.9736,9429625602,17,0
7230,6430184.9,30.1794,9232705019,16,0
7260,6464685.0,30.3852,9035784435,16,0
7290,6499185.1,30.5909,8838863852,16,0
7320,6533685.3,30.7967,8641943268,16,0
7350,6568185.4,31.0022,8445022685,16,0
7380,6602273.6,31.2026,8250422075,16,0
7410,6634342.6,31.3837,8067193549,15,0
7440,6666411.6,31.5635,7883965024,15,0
7470,6698480.6,31.7423,7700736499,15,0
7500,6730549.6,31.9201,7517507974,15,0
7530,6762618.6,32.0971,7334279449,15,0
7560,6794975.4,32.2742,7151050924,15,0
7590,6826031.1,32.4353,6974599821,15,0
7620,6857062.4,32.595,6798217326,14,0
7650,6888093.7,32.7536,6621834830,14,0
7680,6919584.3,32.9129,6445452334,14,0
7710,6964500.6,33.1307,6269069838,13,0
7740,7008161.4,33.3443,6092687342,12,0
7770,7042440.1,33.5248,5927013898,12,0
7800,7074409.5,33.7013,5769334767,11,0
7830,7105727.4,33.8766,5613490359,10,0
7860,7137045.3,34.0517,5457645950,10,0
7890,7168363.2,34.2266,5301801542,10,0
7920,7199681.2,34.4012,5145957133,10,0
7950,7226186.0,34.5485,5017220200,10,0
7980,7250497.1,34.6832,4900837704,10,0
8010,7273769.9,34.8107,4790303542,10,0
8040,7295650.0,34.9285,4687613105,9,0
8070,7317530.0,35.0462,4584922667,9,0
8100,7339410.1,35.1638,4482232230,9,0
8130,7361290.2,35.2813,4379541792,9,0
8160,7383029.2,35.3986,4277645485,9,0
8190,7402478.2,35.5149,4188647105,8,0
8220,7421927.1,35.6312,4099648726,8,0
8250,7441376.1,35.7475,4010650347,8,0
8280,7460825.0,35.8638,3921651968,8,0
8310,7480274.0,35.9802,3832653588,8,0
8340,7499722.9,36.0965,3743655209,8,0
8370,7519171.9,36.2128,3654656830,8,0
8400,7538620.8,36.3291,3565658451,8,0
8430,7558069.8,36.4454,3476660071,8,0
8460,7577518.7,36.5618,3387661692,8,0
8490,7596967.6,36.6781,3298663313,8,0
8520,7616416.6,36.7944,3209664934,8,0
8550,7635865.5,36.9107,3120666554,8,0
8580,7655314.5,37.027,3031668175,8,0
8610,7674763.4,37.1433,2942669796,8,0
8640,7694212.4,37.2597,2853671417,8,0
8670,7713661.3,37.376,2764673037,8,0
8700,7733110.3,37.4923,2675674658,8,0
8730,7752559.2,37.6086,2586676279,8,0
8760,7770218.6,37.7118,2502717248,8,0
8790,7784805.3,37.7925,2427410927,6,0
8820,7799392.0,37.8732,2352104606,6,0
8850,7813978.8,37.9539,2276798285,6,0
8880,7828565.5,38.0346,2201491964,6,0
8910,7843152.2,38.1153,2126185643,6,0
8940,7857738.9,38.196,2050879322,6,0
8970,7872325.6,38.2767,1975573002,6,0
9000,7905830.7,38.4874,10497850671,14,0
9030,7937291.9,38.678,10300930087,13,0
9060,7968753.2,38.8677,10104009504,13,0
9090,8000214.4,39.0565,9907088920,13,0
9120,8031675.6,39.2443,9710168337,13,0
9150,8063136.9,39.4314,9513247754,13,0
9180,8094598.1,39.6177,9316327170,13,0
9210,8126059.3,39.8033,9119406587,13,0
9240,8157520.5,39.9884,8922486003,13,0
9270,8188981.8,40.1728,8725565420,13,0
9300,8220443.0,40.3568,8528644836,13,0
9330,8251904.2,40.5404,8331724253,13,0
9360,8283365.4,40.7235,8134803669,13,0
9390,8314826.7,40.9063,7937883086,13,0
9420,8346287.9,41.0887,7740962502,13,0
9450,8377749.1,41.2708,7544041919,13,0
9480,8409210.3,41.452,7347121335,13,0
9510,8440671.6,41.6312,7150200752,13,0
9540,8472132.8,41.8087,6953280168,13,0
9570,8503417.6,41.9836,6758347288,13,0
9600,8532447.7,42.146,6588810822,12,0
9630,8561477.8,42.3082,6419274355,12,0
9660,8589846.1,42.4699,6251601574,12,0
9690,8616445.1,42.6305,6088911136,11,0
9720,8643044.0,42.7912,5926220698,11,0
9750,8669643.0,42.9518,5763530261,11,0
9780,8696242.0,43.1125,5600839823,11,0
9810,8722841.0,43.2727,5438149386,11,0
9840,8749440.0,43.4322,5275458948,11,0
9870,8776039.0,43.5909,5112768510,11,0
9900,8802638.0,43.7489,4950078073,11,0
9930,8829237.0,43.9064,4787387635,11,0
9960,8855836.0,44.0633,4624697198,11,0
9990,8882434.9,44.2197,4462006760,11,0
10020,8909033.9,44.3756,4299316322,11,0
10050,8935632.9,44.5312,4136625885,11,0
10080,8962231.9,44.6864,3973935447,11,0
10110,8988830.9,44.8413,3811245010,11,0
10140,9015429.9,44.9959,3648554572,11,0
10170,9042028.9,45.1501,3485864134,11,0
10200,9068627.9,45.3027,3323173697,11,0
10230,9095226.9,45.454,3160483259,11,0
10260,9121825.9,45.604,2997792822,11,0
10290,9148424.8,45.7528,2835102384,11,0
10320,9175023.8,45.9007,2672411946,11,0
10350,9199756.7,46.0457,2515859330,11,0
10380,9221493.5,46.1838,2373706980,9,0
10410,9242044.7,46.3241,2231554630,9,0
10440,9260946.3,46.4571,2100799166,8,0
10470,9278266.5,46.5761,1987856672,7,0
10500,9292853.2,46.66,1905704322,6,0
10530,9307439.9,46.7439,1823551972,6,0
10560,9322026.6,46.8278,1741399622,6,0
10590,9336613.3,46.9117,1659247272,6,0
10620,9351200.0,46.9956,1577094922,6,0
10650,9365786.8,47.0794,1494942571,6,0
10680,9380373.5,47.1633,1412790221,6,0
10710,9394960.2,47.2472,1330637871,6,0
10740,9409027.9,47.3294,1251408420,6,0
10770,9421183.5,47.405,1182948128,5,0
10800,9452788.0,47.5855,9714501449,13,0
10830,9484392.6,47.7657,9536504691,13,0
10860,9515997.1,47.9446,9358507932,13,0
10890,9547601.6,48.1222,9180511174,13,0
10920,9579206.2,48.2987,9002514415,13,0
10950,9610810.7,48.4742,8824517657,13,0
10980,9640320.3,48.6412,8658319528,13,0
11010,9669493.8,48.8071,8494014827,12,0
11040,9698667.2,48.973,8329710127,12,0
11070,9727162.3,49.1349,8169225511,12,0
11100,9753904.6,49.287,8018612870,11,0
11130,9780646.9,49.439,7868000228,11,0
11160,9807389.2,49.591,7717387586,11,0
11190,9834131.5,49.743,7566774944,11,0
11220,9860873.8,49.895,7416162302,11,0
11250,9887616.1,50.047,7265549661,11,0
11280,9914358.4,50.199,7114937019,11,0
11310,9939396.5,50.3379,6973922592,11,0
11340,9963707.7,50.4711,6837002008,10,0
11370,9987748.4,50.6024,6701604685,10,0
11400,10009628.5,50.7175,6578376160,9,0
11430,10031508.5,50.8326,6455147635,9,0
11460,10053388.6,50.9478,6331919109,9,0
11490,10075268.7,51.0629,6208690584,9,0
11520,10097148.7,51.178,6085462059,9,0
11550,10119028.8,51.2932,5962233534,9,0
11580,10140908.8,51.4083,5839005009,9,0
11610,10162788.9,51.5234,5715776484,9,0
11640,10184669.0,51.6386,5592547959,9,0
11670,10206549.0,51.7537,5469319434,9,0
11700,10228429.1,51.8688,5346090908,9,0
11730,10250309.2,51.984,5222862383,9,0
11760,10272189.2,52.0991,5099633858,9,0
11790,10292488.2,52.2072,4985310210,9,0
11820,10311937.1,52.312,4875773743,8,0
11850,10331386.1,52.4168,4766237276,8,0
11880,10350835.0,52.5216,4656700809,8,0
11910,10370284.0,52.6264,4547164343,8,0
11940,10389732.9,52.7312,4437627876,8,0
11970,10409181.9,52.8359,4328091409,8,0
12000,10428630.8,52.9407,4218554942,8,0
12030,10448079.8,53.0455,4109018475,8,0
12060,10467528.7,53.1503,3999482009,8,0
12090,10486977.6,53.2551,3889945542,8,0
12120,10506426.6,53.3599,3780409075,8,0
12150,10525875.5,53.4647,3670872608,8,0
12180,10545324.5,53.5694,3561336142,8,0
12210,10564773.4,53.6742,3451799675,8,0
12240,10584222.4,53.779,3342263208,8,0
12270,10603671.3,53.8838,3232726741,8,0
12300,10623120.3,53.9886,3123190274,8,0
12330,10641407.1,54.0842,3026744292,8,0
12360,10658424.9,54.1697,2944591942,7,0
12390,10675442.7,54.2552,2862439592,7,0
12420,10692460.6,54.3408,2780287242,7,0
12450,10709478.4,54.4263,2698134891,7,0
12480,10726496.2,54.5118,2615982541,7,0
12510,10743514.0,54.5973,2533830191,7,0
12540,10760531.9,54.6829,2451677841,7,0
12570,10777549.7,54.7684,2369525491,7,0
12600,10812506.2,54.9654,10776246089,15,0
12630,10846541.9,55.1532,10598249331,14,0
12660,10880577.6,55.3401,10420252572,14,0
12690,10914613.2,55.5259,10242255814,14,0
12720,10948648.9,55.7109,10064259055,14,0
12750,10980949.7,55.8845,9896032740,14,0
12780,11012554.3,56.0531,9731728040,13,0
12810,11044158.8,56.2211,9567423339,13,0
12840,11075763.3,56.3884,9403118639,13,0
12870,11107367.9,56.5552,9238813939,13,0
12900,11138972.4,56.7211,9074509239,13,0
12930,11170577.0,56.8862,8910204539,13,0
12960,11202181.5,57.0506,8745899839,13,0
12990,11233786.0,57.2142,8581595138,13,0
13020,11264893.7,57.3747,8420088830,13,0
13050,11294067.1,57.5243,8269476189,12,0
13080,11323240.5,57.6734,8118863547,12,0
13110,11352414.0,57.822,7968250905,12,0
13140,11381587.4,57.9703,7817638263,12,0
13170,11410760.8,58.1182,7667025621,12,0
13200,11439934.2,58.2657,7516412979,12,0
13230,11469107.6,58.413,7365800338,12,0
13260,11498281.1,58.5599,7215187696,12,0
13290,11527454.5,58.7067,7064575054,12,0
13320,11556627.9,58.8532,6913962412,12,0
13350,11585801.3,58.9995,6763349770,12,0
13380,11614974.7,59.1456,6612737129,12,0
13410,11644148.1,59.2916,6462124487,12,0
13440,11673321.6,59.4374,6311511845,12,0
13470,11702495.0,59.583,6160899203,12,0
13500,11731668.4,59.7286,6010286561,12,0
13530,11760841.8,59.874,5859673919,12,0
13560,11790015.2,60.0194,5709061278,12,0
13590,11819188.7,60.1646,5558448636,12,0
13620,11848362.1,60.3098,5407835994,12,0
13650,11877535.5,60.4549,5257223352,12,0
13680,11906708.9,60.5999,5106610710,12,0
13710,11935882.3,60.7449,4955998069,12,0
13740,11965055.8,60.8898,4805385427,12,0
13770,11994229.2,61.0344,4654772785,12,0
13800,12023402.6,61.1778,4504160143,12,0
13830,12052576.0,61.3199,4353547501,12,0
13860,12081749.4,61.461,4202934860,12,0
13890,12110922.9,61.601,4052322218,12,0
13920,12140096.3,61.7402,3901709576,12,0
13950,12168351.2,61.8757,3756270159,12,0
13980,12195093.5,62.0066,3619349575,11,0
14010,12221835.8,62.1375,3482428992,11,0
14040,12245274.4,62.2546,3357953695,11,0
14070,12267154.4,62.3555,3241571199,9,0
14100,12289034.5,62.4564,3125188703,9,0
14130,12309764.3,62.5553,3015284422,9,0
14160,12329213.3,62.6518,2912593985,8,0
14190,12348662.2,62.7484,2809903547,8,0
14220,12366184.1,62.8256,2718066056,8,0
14250,12380770.9,62.8779,2642759735,6,0
14280,12395357.6,62.9302,2567453414,6,0
14310,12409944.3,62.9825,2492147093,6,0
14340,12424531.0,63.0347,2416840772,6,0
14370,12439117.7,63.087,2341534451,6,0
14400,12453704.4,63.1393,2266228130,6,0
14430,12468291.1,63.1916,2190921809,6,0
14460,12482384.3,63.2438,2117005333,6,0
14490,12494539.9,63.2961,2048545041,5,0
14520,12506695.5,63.3483,1980084749,5,0
14550,12518699.2,63.3992,1912479444,5,0
14580,12528423.7,63.429,1857711211,4,0
14610,12538148.2,63.4582,1802942978,4,0
14640,12546983.5,63.4849,1753182514,4,0
14670,12554276.8,63.5081,1712106339,3,0
14700,12561570.2,63.5314,1671030164,3,0
14730,12568863.6,63.5546,1629953989,3,0
14760,12576156.9,63.5778,1588877814,3,0
14790,12583450.3,63.6011,1547801639,3,0
14820,12590743.6,63.6243,1506725464,3,0
14850,12598037.0,63.6475,1465649289,3,0
14880,12605330.3,63.6708,1424573114,3,0
14910,12612623.7,63.694,1383496939,3,0
14940,12619917.0,63.7172,1342420764,3,0
14970,12627210.4,63.7405,1301344589,3,0
15000,12634503.8,63.7637,1260268414,3,0
15030,12641797.1,63.7869,1219192239,3,0
15060,12649090.5,63.8102,1178116064,3,0
15090,12656383.8,63.8334,1137039889,3,0
15120,12663677.2,63.8566,1095963714,3,0
15150,12670970.5,63.8799,1054887539,3,0
15180,12678263.9,63.9029,1013811363,3,0
15210,12685557.2,63.925,972735188,3,0
15240,12692850.6,63.9464,931659013,3,0
15270,12700143.9,63.9669,890582838,3,0
15300,12707437.3,63.9864,849506663,3,0
15330,12714730.7,64.0049,808430488,3,0
15360,12722024.0,64.0226,767354313,3,0
15390,12729317.4,64.0395,726278138,3,0
15420,12736610.7,64.0557,685201963,3,0
15450,12743904.1,64.0712,644125788,3,0
15480,12751197.4,64.0862,603049613,3,0
15510,12758490.8,64.1007,561973438,3,0
15540,12763040.7,64.1079,528622751,3,0
15570,12765471.8,64.1094,501238635,1,0
15600,12767902.9,64.1108,473854518,1,0
